İlan başlığı,Fiyat,Oda sayısı,Metrekare,Mahalle / Konum bilgisi,Yayınlanma tarihi
2+1 lüx stüdyo daire eşyalı,24.000 TL,2+1,88,"Anadolu
Çünür Mh.","18 Aralık
2025"
SAHİBİNDEN HERŞEY DAHİL 1+0 ARAKAT APART DAİRE,8.550 TL,Stüdyo (1+0),33,"Anadolu
Fatih Mah.","16 Aralık
2025"
ÇÜNÜRDE KİRALIK 2+1 DAİRE,20.000 TL,2+1,100,"Anadolu
Çünür Mh.","16 Aralık
2025"
MEHMET TÖNGE MAHALLESİNDE SİTE İÇERİSİNDE KİRALIK BAKIMLI DAİRE,22.000 TL,3+1,160,"Anadolu
Mehmet Tönge Mh.","04 Aralık
2025"
MODERN EVLER MAHALLESİ KİRALIK LÜKS 3+1 DAİRE,25.000 TL,3+1,168,"Anadolu
Modern Evler Mah.","14 Aralık
2025"
SİTE İÇİNDE GÜNEY CEPHE 3+1 LÜKS DAİRE,22.000 TL,3+1,156,"Anadolu
Çünür Mh.","15 Aralık
2025"
32 ARTIBİR EMLAKTAN İYAŞ AVM YANI 1+1 GENİŞ HERŞEY DAHİL APART,15.000 TL,1+1,60,"Anadolu
Fatih Mah.","18 Aralık
2025"
Sahibinden mukemmel konumda 2+1,14.000 TL,2+1,55,"Anadolu
Çünür Mh.","18 Aralık
2025"
ÇÜNÜR MAHALLESİNDE SİTE İÇERİSİNDE 3+1 KİRALIK DAİRE,25.000 TL,3+1,150,"Anadolu
Çünür Mh.","18 Aralık
2025"
,,,,,
GEF GAYRİMENKUL'den MUZAFFER TÜRKEŞ MAH. SİTE İÇİ KİRALIK 3+1,20.500 TL,3+1,135,"Anadolu
Muzaffer Türkeş Mh.","18 Aralık
2025"
ISPARTA MERKEZ BATIKENT MAHALLESİNDE KİRALIK DAİRE,14.750 TL,3+1,120,"Kutlubey
Batıkent Mh.","18 Aralık
2025"
TIP FAKÜLTESİNE YÜRÜME MESAFESİNDE,12.000 TL,1+1,50,"Anadolu
Çünür Mh.","18 Aralık
2025"
MODERN EVL. MAH. KİRALIK 2+0,14.000 TL,2+0,55,"Anadolu
Modern Evler Mah.","18 Aralık
2025"
FATİH MAHALLESİNDE 1+0 HERŞEY DAHİL KİRALIK DAİRE,7.000 TL,Stüdyo (1+0),30,"Anadolu
Fatih Mah.","18 Aralık
2025"
32 ARTIBİR EMLAKTAN IŞIKKENT MAHALLESİ'NDE FULL BAKIMLI ARAKAT,22.000 TL,3+1,150,"Kutlubey
Işıkkent Mh.","18 Aralık
2025"
32 ARTIBİR EMLAKTAN ÇÜNÜRDE LÜKS 95M2 APART DAİRE,25.000 TL,2+1,95,"Anadolu
Çünür Mh.","18 Aralık
2025"
lüks apart,12.000 TL,Stüdyo (1+0),35,"Anadolu
Yedişehitler Mh.","18 Aralık
2025"
HIZIRBEY ORTAOKUL YAKINI KİRALIK 3+1 DAİRE,21.000 TL,3+1,135,"Kutlubey
Hızırbey Mh.","18 Aralık
2025"
sahibinden Meydan AVM 'ye 1 dk uzaklıkta geniş ferah daire,25.000 TL,3+1,150,"Tokmacık
Yayla Mah.","17 Aralık
2025"
DAVRAZ MAHALLESİ KULE 246 DA GÜNEY CEPHELİ GENİŞ FERAH 3+1 DAİRE,23.000 TL,3+1,145,"Kepeci
Davraz Mah.","17 Aralık
2025"
Dr. Bartidastan Yeni AVM Yanı Kiralık,12.000 TL,1+1,55,"Kutlubey
Pirimehmet Mah.","17 Aralık
2025"
sıfır daire,25.500 TL,3+1,155,"Anadolu
Muzaffer Türkeş Mh.","17 Aralık
2025"
ÇARŞI MERKEZDE GENİŞ 3+1 KİRALIK DAİRE,19.500 TL,3+1,140,"Tokmacık
Yayla Mah.","17 Aralık
2025"
ISPARTA KEPECİ'DE EŞYALI KİRALIK 2+0 APART DAİRE,12.500 TL,2+0,45,Kepeci,"17 Aralık
2025"
ISPARTA AKSU CADDESİ ÜZERİNDE EŞYALI 2+1 KİRALIK DAİRE,18.000 TL,2+1,115,"Kepeci
Sermet Mah.","17 Aralık
2025"
GÖKKUBBE YANI SIFIR 3+1 KİRALIK DAİRE,26.000 TL,3+1,150,"Kutlubey
Işıkkent Mh.","17 Aralık
2025"
ÇÜNÜR KARŞISI M.TÖNGE ANAYOLU ÜZERİ KİRALIK 3+1 DAİRE...,22.000 TL,3+1,160,"Anadolu
Çünür Mh.","17 Aralık
2025"
ÇÜNÜR PARS YAŞAMDA 1+1 EŞYALI SAHİBİNDEN,13.000 TL,1+1,55,"Anadolu
Çünür Mh.","17 Aralık
2025"
Sahibinden Kıralık Kombili Kullanışlı1+1,11.000 TL,1+1,48,"Anadolu
Fatih Mah.","17 Aralık
2025"
Isparta Davraz Köy Garajı Yakını Kiralık 1+1 Daire,16.000 TL,1+1,60,"Kepeci
Davraz Mah.","17 Aralık
2025"
